Year,Adult Mortality,Alcohol,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP, thinness 5-9 years,Income composition of resources,Schooling,Country_,Status_,Life expectancy 
2013,157.0,3.58,3,99.0,8.43,98.0,0.1,1847.19849,1.7,0.63,11.5,102,1,73.9
2011,18.0,12.66,0,92.0,6.86,92.0,0.1,14357.73679,2.8,0.826,16.7,82,0,72.8
2005,194.0,3.7,4,87.0,6.11,86.0,0.3,1175.116225,1.9,0.592,11.0,102,1,71.2
2006,288.0,1.7,62,84.0,4.64,84.0,2.9,922.9351677,7.9,0.51,8.7,54,1,59.4
2006,245.0,2.71,8,98.0,2.9,98.0,0.1,2136.66815,3.3,0.0,10.4,145,1,63.7
2008,116.0,12.06,0,96.0,7.7,96.0,0.1,15893.8656,1.7,0.8,14.3,36,0,76.0
2003,363.0,0.79,360,55.0,4.64,37.0,4.4,118.8734466,11.5,0.306,5.2,47,1,54.0
2000,224.0,2.9,9,98.0,3.94,97.0,0.1,643.17518,3.6,0.0,0.0,145,1,63.8
2000,224.0,4.29,0,7.0,9.65,71.0,0.4,1888.61829,3.6,0.0,11.1,132,1,67.4
2014,463.0,0.01,32,83.0,11.9,83.0,0.6,78.4394757,7.4,0.426,9.5,125,1,48.1
2008,124.0,4.16,0,99.0,3.96,99.0,0.4,3638.95946,7.8,0.615,12.2,25,1,72.4
2002,125.0,5.52,2,99.0,8.3,99.0,0.2,4126.14671,2.2,0.725,12.6,108,1,75.7
2007,123.0,5.35,45,98.0,5.92,98.0,0.1,933.341687,1.7,0.731,12.3,92,1,76.0
2008,111.0,8.95,0,85.0,6.1,85.0,0.1,1657.3228,3.9,0.775,15.3,12,1,74.4
2009,338.0,4.05,34,96.0,6.96,94.0,2.4,24.944652,7.8,0.336,8.6,24,1,56.2
2013,162.0,0.27,24,92.0,5.69,92.0,0.1,688.6172788,16.5,0.545,12.3,99,1,69.3
2001,11.0,1.19,5,98.0,5.29,98.0,0.1,2254.933126,6.4,0.654,13.1,143,1,73.2
2013,56.0,7.55,3,99.0,1.25,96.0,0.1,4454.44746,1.7,0.894,15.3,71,0,83.5
2007,217.0,4.14,0,98.0,7.44,97.0,1.2,894.927988,6.6,0.527,10.3,120,1,65.1
2000,192.0,3.61,5,85.0,5.39,83.0,0.4,116.2743,2.1,0.562,10.1,102,1,73.0
2006,496.0,8.5,82,79.0,7.57,82.0,28.1,5631.73485,12.8,0.609,12.9,129,1,54.0
2014,252.0,0.38,1,78.0,1.57,78.0,2.1,174.91511,5.4,0.467,6.3,40,1,63.0
2014,237.0,0.01,3,68.0,3.44,7.0,2.8,9692.163874,6.0,0.687,12.6,51,1,65.5
2009,127.0,6.87,2,85.0,7.56,85.0,0.1,7429.628274,1.9,0.755,12.8,108,1,76.8
2014,225.0,10.12,15,97.0,7.7,97.0,0.1,14125.961,2.3,0.803,14.9,117,1,73.0
2002,15.0,3.73,1,98.0,6.3,98.0,0.1,1453.642777,2.1,0.67,10.7,1,1,73.3
2014,12.0,10.71,2,94.0,6.35,98.0,0.1,14341.675,2.1,0.85,16.4,113,0,77.3
2002,164.0,0.01,280,83.0,2.59,83.0,0.1,4.6135745,21.1,0.476,7.7,11,1,66.3
2007,65.0,1.6,0,97.0,3.46,97.0,0.1,39223.58187,2.0,0.873,14.1,126,0,81.1
2010,137.0,14.97,0,94.0,6.25,94.0,0.1,14638.6482,2.0,0.833,16.2,46,1,75.6
2011,47.0,0.94,94,73.0,6.23,76.0,9.6,526.5313517,3.6,0.397,9.5,96,1,54.3
2007,277.0,8.86,6,98.0,6.36,98.0,0.7,368.68998,2.7,0.723,14.8,147,1,67.5
2004,12.0,9.89,0,96.0,8.21,98.0,0.1,37636.11173,0.8,0.869,18.3,49,1,78.7
2005,29.0,5.57,24,6.0,4.41,6.0,3.9,465.311876,4.4,0.452,8.2,61,1,65.0
2014,99.0,1.32,1,75.0,6.39,81.0,0.1,8161.4614,4.9,0.763,13.3,78,1,74.8
2009,77.0,11.41,0,94.0,9.53,94.0,0.1,51983.78892,0.2,0.909,17.9,67,0,79.7
2002,186.0,11.15,0,99.0,4.21,99.0,0.1,8331.261997,6.6,0.712,12.1,124,1,72.1
2004,151.0,1.8,0,91.0,4.87,9.0,0.1,2284.37858,0.1,0.693,14.6,141,1,72.2
2003,17.0,1.34,4,95.0,5.36,95.0,0.1,2761.969249,6.3,0.667,13.5,143,1,73.7
2000,141.0,7.38,2,98.0,6.53,95.0,0.1,87.1365252,2.9,0.702,13.0,123,1,72.6
2013,255.0,8.86,3,77.0,3.98,79.0,3.7,9679.742995,6.1,0.678,12.5,51,1,64.6
2003,166.0,6.64,4,86.0,5.99,86.0,0.1,1174.779347,2.3,0.642,12.7,110,1,71.7
