Year,Adult Mortality,Alcohol,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP, thinness 5-9 years,Income composition of resources,Schooling,Country_,Status_,Life expectancy 
2011,15.0,5.79,3,84.0,9.42,89.0,0.1,3988.11894,2.0,0.675,12.3,110,1,73.4
2013,228.0,2.93,8,98.0,2.12,98.0,0.1,734.42525,3.3,0.678,10.7,145,1,65.4
2002,587.0,5.52,4,87.0,5.16,85.0,49.9,1324.996228,8.8,0.502,9.2,133,1,46.4
2003,92.0,12.61,0,99.0,7.67,98.0,0.1,65445.8853,0.9,0.865,13.6,83,0,78.6
2002,3.0,0.01,122,36.0,7.76,36.0,0.1,187.84595,2.2,0.341,6.2,0,1,56.2
2000,348.0,3.71,92,45.0,5.6,45.0,4.0,226.4759814,11.1,0.0,3.4,23,1,51.0
2006,73.0,11.86,2,98.0,8.23,98.0,0.1,28482.6948,0.5,0.844,15.9,130,0,88.0
2005,566.0,6.37,3,96.0,5.62,96.0,20.6,5351.253732,9.9,0.593,11.9,19,1,51.7
2005,216.0,9.92,0,99.0,6.37,99.0,0.1,7558.7426,2.5,0.791,15.9,77,0,76.0
2011,13.0,0.51,4,96.0,3.89,96.0,0.1,145.1262,7.8,0.774,13.0,86,1,74.3
2003,1.0,6.37,2,96.0,7.34,96.0,0.1,4787.699532,1.0,0.775,14.0,31,1,77.9
2012,369.0,0.01,76,85.0,4.34,85.0,4.6,1255.648189,5.9,0.496,10.4,27,1,55.9
2008,386.0,9.3,848,6.0,4.0,53.0,5.0,1383.893354,11.9,0.481,9.2,104,1,59.0
2002,459.0,7.04,79,7.0,8.9,7.0,26.6,2518.398261,17.1,0.62,12.9,129,1,54.9
2002,163.0,4.45,20,83.0,5.67,81.0,0.1,2355.725857,2.3,0.656,11.5,33,1,71.8
2004,14.0,4.19,0,94.0,5.6,93.0,0.8,1976.45856,8.7,0.574,11.1,25,1,71.4
2007,14.0,4.13,1,99.0,1.42,93.0,0.1,5184.494227,3.2,0.754,16.0,37,1,78.1
2014,86.0,5.78,198,99.0,5.55,99.0,0.1,7683.5238,3.0,0.723,13.1,32,1,75.8
2002,129.0,0.54,4,95.0,9.68,95.0,0.1,1812.288374,3.9,0.712,13.0,72,1,72.1
2003,29.0,8.24,0,98.0,6.15,98.0,0.1,5134.95694,2.6,0.761,15.2,77,0,78.0
2009,124.0,4.45,0,99.0,4.24,99.0,0.4,3444.5566,7.6,0.621,12.4,25,1,72.4
2000,188.0,8.24,0,98.0,4.62,98.0,0.1,7578.85153,6.7,0.0,12.3,124,1,71.8
2009,63.0,7.38,0,73.0,8.33,73.0,0.1,2675.58259,0.7,0.815,14.4,89,0,82.0
2011,16.0,5.91,7,84.0,4.22,84.0,0.7,5759.643,3.2,0.703,13.0,41,1,73.1
2010,122.0,6.94,2,95.0,8.5,94.0,0.1,7937.259931,1.9,0.756,12.8,108,1,76.5
